Attrition,Department,JobRole,OverTime,MonthlyIncome,YearsAtCompany,JobSatisfaction,JobLevel,BusinessTravel,Gender,RevenueLoss
Yes,Sales,Sales Executive,Yes,5993,6,4,2,Travel_Rarely,Female,503999.0693877551
No,Research & Development,Research Scientist,No,5130,10,2,2,Travel_Frequently,Male,431422.5306122449
Yes,Research & Development,Laboratory Technician,Yes,2090,0,3,1,Travel_Rarely,Male,175764.73469387754
No,Research & Development,Research Scientist,Yes,2909,8,3,1,Travel_Frequently,Female,244640.9632653061
No,Research & Development,Laboratory Technician,No,3468,2,2,1,Travel_Rarely,Male,291651.7224489796
No,Research & Development,Laboratory Technician,No,3068,7,4,1,Travel_Frequently,Male,258012.5387755102
No,Research & Development,Laboratory Technician,Yes,2670,1,1,1,Travel_Rarely,Female,224541.55102040817
No,Research & Development,Laboratory Technician,No,2693,1,3,1,Travel_Rarely,Male,226475.80408163267
No,Research & Development,Manufacturing Director,No,9526,9,3,3,Travel_Frequently,Male,801117.1591836734
No,Research & Development,Healthcare Representative,No,5237,7,3,2,Travel_Rarely,Male,440421.01224489795
No,Research & Development,Laboratory Technician,No,2426,5,2,1,Travel_Rarely,Male,204021.64897959185
No,Research & Development,Laboratory Technician,Yes,4193,9,3,2,Travel_Rarely,Female,352622.7428571429
No,Research & Development,Research Scientist,No,2911,5,3,1,Travel_Rarely,Male,244809.15918367347
No,Research & Development,Laboratory Technician,No,2661,2,4,1,Travel_Rarely,Male,223784.6693877551
Yes,Research & Development,Laboratory Technician,Yes,2028,4,3,1,Travel_Rarely,Male,170550.6612244898
No,Research & Development,Manufacturing Director,No,9980,10,1,3,Travel_Rarely,Female,839297.6326530612
No,Research & Development,Research Scientist,Yes,3298,6,2,1,Travel_Rarely,Male,277355.0693877551
No,Research & Development,Laboratory Technician,Yes,2935,1,4,1,Non-Travel,Male,246827.51020408163
No,Sales,Manager,No,15427,25,4,4,Travel_Rarely,Female,1297379.2163265306
No,Research & Development,Research Scientist,Yes,3944,3,4,1,Travel_Rarely,Male,331682.35102040815
No,Research & Development,Manufacturing Director,No,4011,4,3,2,Non-Travel,Female,337316.9142857143
Yes,Sales,Sales Representative,No,3407,5,1,1,Travel_Rarely,Male,286521.7469387755
No,Research & Development,Research Director,No,11994,12,2,3,Travel_Rarely,Female,1008670.9224489796
No,Research & Development,Research Scientist,No,1232,0,4,1,Travel_Rarely,Male,103608.68571428572
Yes,Research & Development,Research Scientist,No,2960,4,1,1,Travel_Rarely,Male,248929.95918367346
No,Research & Development,Manager,No,19094,14,3,5,Travel_Rarely,Female,1605766.4326530613
Yes,Research & Development,Research Scientist,Yes,3919,10,1,1,Travel_Frequently,Female,329579.9020408163
No,Sales,Sales Executive,No,6825,9,2,2,Travel_Rarely,Male,573968.5714285715
No,Research & Development,Healthcare Representative,No,10248,22,4,3,Travel_Rarely,Female,861835.8857142858
No,Sales,Manager,No,18947,2,1,5,Travel_Rarely,Female,1593404.0326530612
No,Research & Development,Laboratory Technician,No,2496,1,4,1,Travel_Rarely,Male,209908.50612244898
No,Research & Development,Healthcare Representative,Yes,6465,4,4,2,Travel_Rarely,Male,543693.306122449
No,Research & Development,Laboratory Technician,No,2206,10,3,1,Travel_Rarely,Male,185520.09795918368
Yes,Sales,Sales Representative,No,2086,1,4,2,Travel_Rarely,Male,175428.34285714285
Yes,Research & Development,Research Scientist,Yes,2293,2,4,1,Travel_Rarely,Male,192836.62040816326
No,Research & Development,Research Scientist,No,2645,5,3,1,Travel_Rarely,Female,222439.10204081633
Yes,Sales,Sales Representative,Yes,2683,3,3,1,Travel_Rarely,Male,225634.82448979592
No,Sales,Sales Representative,No,2014,2,4,1,Travel_Rarely,Female,169373.28979591836
No,Research & Development,Research Scientist,Yes,3419,1,1,1,Travel_Rarely,Female,287530.9224489796
No,Sales,Sales Executive,No,5376,5,1,2,Travel_Frequently,Female,452110.6285714286
No,Research & Development,Laboratory Technician,No,1951,1,4,1,Travel_Rarely,Male,164075.11836734693
No,Research & Development,Laboratory Technician,No,2341,1,1,1,Travel_Rarely,Female,196873.3224489796
Yes,Research & Development,Laboratory Technician,No,2293,1,3,1,Travel_Rarely,Male,192836.62040816326
No,Sales,Sales Executive,No,8726,9,3,3,Travel_Frequently,Male,733838.7918367347
No,Research & Development,Laboratory Technician,No,4011,12,4,2,Travel_Frequently,Female,337316.9142857143
Yes,Research & Development,Research Director,No,19545,22,3,5,Travel_Rarely,Female,1643694.612244898
No,Sales,Sales Executive,No,4568,9,3,2,Non-Travel,Male,384159.4775510204
No,Research & Development,Research Scientist,No,3022,1,2,1,Travel_Rarely,Male,254144.03265306124
No,Sales,Sales Executive,Yes,5772,9,4,2,Travel_Frequently,Male,485413.4204081633
No,Research & Development,Laboratory Technician,No,2269,1,4,1,Travel_Rarely,Male,190818.2693877551
Yes,Research & Development,Laboratory Technician,Yes,5381,1,3,3,Travel_Rarely,Male,452531.11836734693
Yes,Research & Development,Laboratory Technician,Yes,3441,2,3,1,Travel_Rarely,Male,289381.0775510204
No,Sales,Sales Executive,Yes,5454,4,1,2,Travel_Rarely,Female,458670.26938775514
No,Research & Development,Healthcare Representative,Yes,9884,4,1,3,Non-Travel,Male,831224.2285714286
No,Sales,Sales Executive,Yes,4157,2,4,2,Travel_Rarely,Female,349595.2163265306
No,Research & Development,Research Director,Yes,13458,15,4,3,Travel_Frequently,Female,1131790.3346938775
No,Sales,Sales Executive,No,9069,9,1,3,Travel_Frequently,Male,762684.3918367347
No,Research & Development,Laboratory Technician,Yes,4014,2,1,1,Travel_Rarely,Female,337569.2081632653
No,Research & Development,Laboratory Technician,No,5915,7,4,2,Travel_Rarely,Male,497439.4285714286
No,Research & Development,Manufacturing Director,No,5993,7,3,2,Travel_Rarely,Male,503999.0693877551
No,Research & Development,Manufacturing Director,Yes,6162,9,4,2,Travel_Rarely,Male,518211.62448979594
No,Research & Development,Laboratory Technician,No,2406,10,4,2,Travel_Frequently,Female,202339.68979591838
No,Research & Development,Research Director,Yes,18740,27,3,5,Travel_Rarely,Female,1575995.755102041
No,Sales,Sales Executive,No,7637,21,1,3,Travel_Rarely,Female,642256.1142857143
No,Research & Development,Healthcare Representative,No,10096,17,3,3,Travel_Rarely,Female,849052.9959183674
No,Research & Development,Manager,Yes,14756,5,3,4,Travel_Rarely,Female,1240949.4857142856
No,Research & Development,Manufacturing Director,No,6499,6,2,2,Travel_Frequently,Male,546552.6367346939
No,Research & Development,Research Scientist,No,9724,1,1,3,Travel_Rarely,Male,817768.5551020409
No,Research & Development,Research Scientist,No,2194,3,1,1,Travel_Frequently,Male,184510.9224489796
Yes,Research & Development,Research Scientist,Yes,3388,1,3,1,Travel_Rarely,Male,284923.8857142857
No,Sales,Sales Executive,No,5473,4,3,2,Travel_Frequently,Female,460268.1306122449
No,Research & Development,Research Scientist,No,2703,5,2,1,Travel_Rarely,Male,227316.78367346938
No,Research & Development,Research Scientist,No,2501,1,2,1,Travel_Rarely,Male,210328.99591836735
No,Research & Development,Research Scientist,No,6220,10,2,2,Travel_Rarely,Male,523089.306122449
No,Research & Development,Laboratory Technician,No,3038,1,4,1,Travel_Rarely,Female,255489.6
No,Research & Development,Manufacturing Director,No,4424,11,4,2,Travel_Rarely,Female,372049.3714285714
No,Sales,Sales Executive,No,4312,15,1,2,Travel_Rarely,Male,362630.4
No,Research & Development,Research Director,Yes,13245,0,1,3,Travel_Rarely,Male,1113877.469387755
No,Research & Development,Research Director,No,13664,5,3,3,Travel_Rarely,Male,1149114.5142857144
No,Human Resources,Human Resources,Yes,5021,4,2,2,Travel_Rarely,Male,422255.8530612245
No,Research & Development,Laboratory Technician,Yes,5126,10,4,2,Travel_Rarely,Male,431086.1387755102
No,Research & Development,Research Scientist,No,2859,6,3,1,Travel_Rarely,Male,240436.06530612244
No,Sales,Sales Executive,No,10239,1,4,3,Travel_Rarely,Male,861079.0040816327
No,Research & Development,Research Scientist,Yes,5329,13,4,2,Non-Travel,Female,448158.0244897959
No,Research & Development,Manufacturing Director,No,4325,5,2,2,Travel_Rarely,Male,363723.67346938775
No,Research & Development,Manufacturing Director,No,7260,6,4,3,Travel_Rarely,Male,610551.1836734693
No,Sales,Sales Representative,No,2322,0,1,1,Travel_Rarely,Male,195275.4612244898
No,Research & Development,Laboratory Technician,No,2075,4,4,1,Travel_Rarely,Male,174503.26530612246
No,Research & Development,Healthcare Representative,No,4152,11,4,2,Travel_Rarely,Male,349174.7265306123
Yes,Sales,Sales Executive,No,9619,9,4,3,Travel_Rarely,Male,808938.2693877551
No,Research & Development,Healthcare Representative,No,13503,22,2,4,Travel_Frequently,Male,1135574.7428571428
No,Sales,Sales Executive,Yes,5441,10,4,2,Travel_Rarely,Male,457576.99591836735
No,Sales,Sales Executive,Yes,5209,11,2,2,Travel_Rarely,Female,438066.26938775514
No,Research & Development,Healthcare Representative,Yes,10673,10,1,3,Travel_Frequently,Male,897577.518367347
No,Sales,Sales Executive,No,5010,11,3,2,Travel_Rarely,Male,421330.7755102041
No,Research & Development,Research Director,No,13549,4,3,3,Travel_Rarely,Female,1139443.2489795918
No,Sales,Sales Executive,No,4999,3,3,2,Travel_Rarely,Female,420405.69795918366
No,Sales,Sales Executive,No,4221,5,3,2,Non-Travel,Male,354977.4857142857
No,Sales,Sales Executive,No,13872,37,3,4,Travel_Rarely,Male,1166606.8897959185
No,Research & Development,Laboratory Technician,No,2042,3,2,2,Non-Travel,Male,171728.03265306124
Yes,Human Resources,Human Resources,Yes,2073,3,1,1,Travel_Rarely,Male,174335.0693877551
No,Research & Development,Research Scientist,No,2956,1,1,1,Travel_Rarely,Male,248593.56734693877
Yes,Research & Development,Laboratory Technician,Yes,2926,1,4,1,Travel_Frequently,Female,246070.62857142856
No,Research & Development,Research Scientist,No,4809,16,3,2,Travel_Rarely,Female,404427.0857142857
No,Research & Development,Healthcare Representative,No,5163,1,4,2,Non-Travel,Male,434197.76326530613
No,Human Resources,Manager,No,18844,3,4,5,Non-Travel,Female,1584741.9428571428
No,Research & Development,Research Director,Yes,18172,8,2,5,Travel_Frequently,Female,1528228.1142857142
Yes,Sales,Sales Executive,Yes,5744,6,3,2,Travel_Rarely,Male,483058.6775510204
No,Research & Development,Research Scientist,No,2889,2,4,1,Travel_Rarely,Male,242959.00408163265
No,Research & Development,Laboratory Technician,No,2871,0,4,1,Travel_Rarely,Female,241445.24081632652
No,Research & Development,Healthcare Representative,No,7484,13,1,3,Travel_Frequently,Female,629389.1265306122
Yes,Research & Development,Laboratory Technician,Yes,6074,9,3,2,Travel_Frequently,Male,510811.00408163265
No,Human Resources,Manager,Yes,17328,5,4,4,Non-Travel,Female,1457249.4367346938
No,Research & Development,Laboratory Technician,No,2774,5,3,1,Travel_Rarely,Male,233287.7387755102
No,Research & Development,Research Scientist,No,4505,1,2,2,Travel_Rarely,Female,378861.306122449
No,Sales,Sales Executive,No,7428,5,4,3,Travel_Rarely,Male,624679.6408163265
No,Research & Development,Manager,No,11631,11,1,3,Travel_Rarely,Female,978143.3632653061
No,Sales,Sales Executive,No,9738,9,4,3,Travel_Frequently,Female,818945.9265306123
No,Research & Development,Laboratory Technician,No,2835,1,4,1,Travel_Rarely,Female,238417.7142857143
No,Sales,Manager,Yes,16959,25,4,4,Travel_Frequently,Male,1426217.2897959184
No,Research & Development,Research Scientist,No,2613,10,3,1,Travel_Frequently,Male,219747.9673469388
No,Sales,Sales Executive,No,6146,7,2,2,Non-Travel,Male,516866.0571428572
Yes,Research & Development,Research Scientist,Yes,4963,5,2,1,Travel_Rarely,Female,417378.17142857146
No,Research & Development,Research Director,No,19537,20,3,5,Travel_Rarely,Male,1643021.8285714285
Yes,Sales,Sales Executive,Yes,6172,7,3,2,Travel_Rarely,Male,519052.6040816327
No,Research & Development,Research Scientist,No,2368,5,2,1,Travel_Rarely,Female,199143.9673469388
Yes,Research & Development,Healthcare Representative,No,10312,40,4,3,Travel_Rarely,Female,867218.1551020409
Yes,Sales,Sales Representative,Yes,1675,0,3,1,Travel_Rarely,Male,140864.08163265308
No,Research & Development,Laboratory Technician,No,2523,2,4,1,Travel_Rarely,Male,212179.15102040817
No,Research & Development,Manufacturing Director,No,6567,15,1,2,Travel_Rarely,Female,552271.2979591837
No,Research & Development,Research Scientist,No,4739,3,3,1,Travel_Frequently,Female,398540.22857142857
No,Sales,Sales Executive,No,9208,2,4,3,Travel_Frequently,Female,774374.0081632653
Yes,Sales,Sales Executive,Yes,4559,2,3,2,Travel_Rarely,Female,383402.5959183673
No,Sales,Sales Executive,Yes,8189,9,3,3,Travel_Rarely,Male,688678.1877551021
No,Human Resources,Human Resources,No,2942,8,3,1,Travel_Rarely,Female,247416.19591836736
No,Research & Development,Manufacturing Director,No,4941,3,2,2,Travel_Rarely,Male,415528.0163265306
Yes,Research & Development,Manufacturing Director,No,10650,4,4,3,Travel_Frequently,Male,895643.2653061225
No,Sales,Sales Executive,No,5902,15,3,2,Travel_Rarely,Female,496346.15510204085
No,Sales,Sales Executive,No,8639,2,3,2,Travel_Rarely,Male,726522.2693877551
No,Human Resources,Human Resources,Yes,6347,11,4,2,Travel_Rarely,Male,533769.7469387755
Yes,Research & Development,Laboratory Technician,No,4200,5,1,1,Travel_Rarely,Female,353211.4285714286
No,Research & Development,Research Scientist,No,3452,6,4,1,Travel_Rarely,Male,290306.1551020408
No,Research & Development,Research Scientist,Yes,4317,3,3,2,Travel_Rarely,Female,363050.88979591837
No,Research & Development,Research Scientist,No,2632,5,3,1,Travel_Rarely,Female,221345.82857142857
No,Sales,Sales Executive,No,4668,8,4,2,Travel_Frequently,Male,392569.2734693878
No,Research & Development,Research Scientist,No,3204,3,1,1,Travel_Rarely,Female,269449.8612244898
No,Research & Development,Laboratory Technician,No,2720,5,4,1,Travel_Rarely,Male,228746.44897959183
No,Research & Development,Manager,No,17181,7,1,4,Travel_Frequently,Male,1444887.036734694
No,Research & Development,Laboratory Technician,No,2238,5,1,1,Travel_Rarely,Male,188211.23265306122
No,Research & Development,Laboratory Technician,No,1483,1,2,1,Travel_Rarely,Female,124717.27346938776
No,Research & Development,Research Scientist,No,5605,20,2,2,Travel_Frequently,Female,471369.0612244898
No,Sales,Sales Executive,No,7295,10,2,3,Travel_Rarely,Male,613494.612244898
No,Sales,Sales Representative,Yes,2306,7,3,2,Travel_Rarely,Male,193929.89387755102
No,Research & Development,Laboratory Technician,No,2348,17,2,2,Travel_Rarely,Male,197462.0081632653
No,Sales,Sales Executive,No,8998,9,4,3,Travel_Frequently,Female,756713.4367346939
No,Research & Development,Manufacturing Director,No,4319,10,3,2,Non-Travel,Male,363219.0857142857
No,Research & Development,Manufacturing Director,No,6132,1,3,2,Travel_Rarely,Male,515688.6857142857
No,Research & Development,Research Scientist,Yes,3346,1,2,1,Travel_Rarely,Female,281391.77142857143
No,Sales,Sales Executive,No,10855,12,4,3,Travel_Rarely,Male,912883.3469387755
No,Sales,Sales Representative,No,2231,4,3,1,Travel_Frequently,Female,187622.54693877551
No,Research & Development,Research Scientist,No,2323,2,4,1,Travel_Rarely,Male,195359.55918367347
No,Research & Development,Research Scientist,No,2024,2,2,1,Non-Travel,Male,170214.2693877551
No,Research & Development,Research Scientist,No,2713,5,4,1,Travel_Rarely,Male,228157.76326530613
No,Research & Development,Healthcare Representative,Yes,9439,5,4,3,Travel_Rarely,Male,793800.6367346939
No,Research & Development,Research Scientist,Yes,2566,1,3,1,Non-Travel,Male,215795.36326530614
No,Research & Development,Manager,No,19926,5,2,5,Travel_Rarely,Female,1675735.9346938776
No,Research & Development,Research Scientist,No,2451,9,3,1,Travel_Rarely,Male,206124.09795918368
No,Sales,Sales Executive,No,9419,10,4,3,Travel_Rarely,Female,792118.6775510204
No,Sales,Sales Executive,No,8686,8,4,2,Travel_Rarely,Female,730474.8734693878
No,Research & Development,Research Scientist,No,3038,5,3,1,Travel_Rarely,Male,255489.6
No,Research & Development,Research Scientist,Yes,3058,5,2,1,Travel_Rarely,Male,257171.55918367347
Yes,Sales,Sales Representative,No,2325,0,1,1,Travel_Frequently,Female,195527.75510204083
No,Research & Development,Laboratory Technician,No,2088,8,2,1,Travel_Frequently,Male,175596.5387755102
No,Research & Development,Laboratory Technician,No,3072,12,1,2,Non-Travel,Male,258348.9306122449
No,Sales,Sales Executive,Yes,5006,5,1,2,Travel_Rarely,Female,420994.3836734694
No,Research & Development,Research Scientist,Yes,4257,2,1,1,Travel_Rarely,Female,358005.01224489795
No,Research & Development,Research Scientist,No,2500,3,4,1,Travel_Rarely,Male,210244.89795918367
